|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
||2011|157617.0|103967.0|59517.0|20.0|1287697.0|
||2012|161991.0|153216.0|61231.0|21.0|1245400.0|
||2013|148659.0|119304.0|63322.0|26.0|1317487.0|
||2014|146007.0|110271.0|61491.0|26.0|1280232.0|
||2015|147567.0|106598.0|61328.0|26.0|1249522.0|
||2016|146436.0|89763.0|63473.0|26.0|1199980.0|
||2017|141569.0|100514.0|66971.0|26.0|1129654.0|
||2018|152764.0|98942.0|64622.0|26.0|1227925.0|
||2019|175687.0|66574.0|61158.0|26.0|1185859.0|
||2020|165736.0|78584.0|57057.0|72.0|1200317.0|
||2021|164919.0|77694.0|52045.0|141.4|1292934.0|
|Bursa-16|2004|765980.0|147030.0|539570.0|0.0|2118760.0|
||2005|743700.0|142730.0|580750.0|0.0|2111460.0|
||2006|742545.0|190250.0|484575.0|0.0|2032060.0|
||2007|772121.0|192467.0|465307.0|0.0|1886419.0|
||2008|794340.0|188523.0|480915.0|0.0|1916982.0|
||2009|807893.0|180162.0|482843.0|0.0|1864462.0|
||2010|787168.0|176889.0|434706.0|0.0|1832022.0|
||2011|765662.0|170262.0|457980.0|2986.4|1666912.0|
||2012|855033.0|324394.0|468336.0|3172.6|1615848.0|
||2013|871207.0|246105.0|445638.0|3169.7|1538502.0|
||2014|873152.0|245066.0|440527.0|3249.6|1535910.0|
||2015|885681.0|263029.0|472693.0|2838.7|1424949.0|
||2016|886145.0|226498.0|430652.0|2873.2|1459167.0|
||2017|888443.0|211823.0|414225.0|2891.5|1507682.0|
||2018|923432.0|199224.0|418348.0|2989.4|1492999.0|
||2019|931221.0|214194.0|411487.0|2987.9|1439600.0|
||2020|947100.0|215409.0|385366.0|4341.6|1424149.0|
||2021|955606.0|203693.0|368736.0|4436.0|1425725.0|
|Çanakkale-17|2004|406340.0|242730.0|200210.0|0.0|1959650.0|
