|||Sütunlar||||||||||||||||||
Satırlar|||||||||||||||||||||
|||||||||||||||||||||
|||01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|01.49.21. (Doğal Bal) ve Ton|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|01.49.26.00.01. (Balmumu, Arı) ve Ton|
||2019|43355.994|3053.711|152.955||665.72|3304.57||477.456|73.68|124.4||6.57|0.0|840.0||29.4||0.03|
||2020|||||||||72.24|150.968||7.399|0.0|845.0||12.5||1.5|
||2021|||||||||73.485|147.477||7.174|0.0|855.0||9.67||1.25|
|Konya(Karapınar)-1441|2015|70364.646|16034.454|188.253||3916.0|7032.406|14.104|833.49|628.575|270.292|0.433|14.869|0.0|913.0||8.25||0.34|
||2016|70186.958|14823.84|164.721||3560.0|6468.52|13.399|740.88|574.5|243.81|0.402|13.8|0.0|915.0||8.24||0.345|
||2017|68410.073|20876.908|94.126|0.0|3097.2|4921.7|7.052|411.6|468.0|188.73|0.217|8.888|0.0|1264.0||12.0||0.34|
||2018|78182.94|23718.144|82.361|0.0|3096.132|6468.52|6.347|493.92|463.95|239.882|0.194|10.62|0.0|1265.0||12.1||0.342|
||2019|102401.883|18665.685|47.063|0.0|3467.796|7244.742|5.994|498.036|518.739|268.669|0.183|10.778|0.0|700.0||7.0||0.625|
||2020|||||||||265.599|428.699|0.183|12.17|0.0|1097.0||3.54||0.165|
||2021|||||||||246.573|415.723||10.83|0.0|1216.0||5.0||0.128|
|Konya(Karatay)-1814|2015|41223.732|37356.077|2059.015||356.0|6468.52||307.877|51.525|233.604||4.95|0.0|3451.0||85.246||3.547|
||2016|40050.988|37998.443|1941.357||373.8|7382.55||292.236|46.86|274.104||5.408|0.0|2826.0||73.476||2.95|
||2017|47336.216|44706.231|1923.708|61.632|395.16|8038.894||201.684|46.35|262.764||3.233|0.0|3795.0||13.0||1.745|
||2018|50019.313|45459.776|1941.357|51.36|395.872|8085.65||201.684|46.62|264.546||3.244|0.0|3793.0||13.1||1.755|
||2019|50108.157|45706.84|1906.06|51.36|409.4|8170.022||203.742|48.39|268.11||3.259|0.0|4000.0||27.655||0.666|
