|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
||2021|2.7|0.0|400.4|952.6|
|Çanakkale-17|2004|7.0|1.0|538.0|37.0|
||2005|11.0|1.0|131.0|61.0|
||2006|11.0|1.0|133.0|59.0|
||2007|18.0|1.0|100.0|179.0|
||2008|18.0|1.0|70.0|151.0|
||2009|18.0|1.0|77.0|146.0|
||2010|7.0|1.0|91.0|179.0|
||2011|7.0|1.0|99.0|178.0|
||2012|10.0|2.0|103.0|194.0|
||2013|11.0|2.0|108.0|203.0|
||2014|6.0|1.0|110.0|217.0|
||2015|8.0|0.0|113.0|215.0|
||2016|8.0|0.0|137.0|223.0|
||2017|11.0|0.0|199.0|288.0|
||2018|18.0|0.0|227.0|311.0|
||2019|39.0|0.0|303.0|396.0|
||2020|51.0|0.0|220.0|506.0|
||2021|84.0|0.0|328.0|598.0|
|Çankırı-18|2004|0.0|0.0|0.0|70.0|
||2005|0.0|0.0|0.0|70.0|
||2006|0.0|0.0|0.0|71.0|
||2007|0.0|0.0|0.0|76.0|
||2008|0.0|0.0|0.0|118.0|
||2009|0.0|0.0|0.0|72.0|
||2010|0.0|0.0|0.0|74.0|
||2011|0.0|0.0|0.0|82.0|
||2012|0.0|0.0|0.0|75.0|
||2013|0.0|0.0|0.0|74.0|
||2014|0.0|0.0|0.0|90.0|
||2015|0.0|0.0|0.0|91.0|
||2016|0.0|0.0|24.0|84.0|
||2017|0.0|0.0|24.0|87.0|
||2018|0.0|0.0|2.0|120.0|
||2019|0.0|0.0|0.0|120.0|
||2020|0.0|0.0|0.0|327.0|
||2021|0.0|0.0|0.0|333.0|
|Çorum-19|2004|4.0|0.0|0.0|70.0|
||2005|3.0|0.0|4.0|71.0|
||2006|3.0|0.0|5.0|83.0|
||2007|2.0|0.0|7.0|106.0|
||2008|2.0|0.0|7.0|147.0|
||2009|3.0|0.0|8.0|151.0|
